Hotel;Rumah Makan;Area Parkir;Toilet
OYO 1095 Rap Hotel;Sinar Minang Restaurant & Convention Hall;Area Parkir Bukit Pahoda; Bukit Pahoda
OYO 91778 Pudan Residence;Bukit Pahoda;;
Bukit Pahoda·Link yang dikunjungi;Pantai Robema;;
Pondok Berata Dapdap;Kedai Bakmi Bahagia;;
Hotel Ompu Herti;Rumah makan;;
Mutiara Balige Hotel;Cafe Panca Jelita;;
Grand Mareda Hotel;Wita Cafe;;
Hotell;Kedai Bakmi Sukaria;;
GRAND TOBA HOTEL;;;
Pelabuhan Tiara Bunga;;;
Hotel Balige Beach, Cafe & Resto;;;
Hotel Sumatera Balige;;;
Tiara Bunga Hotel;;;
Pantai Bul Bul;;;
Beach Hotel;;;
