Nama Tempat;Ulasan ;Rating
Hatulian Beach;pemandangan indah, bersih, suasana spt di pedesaan, tp sayang klw cuaca panas terlihat gersang krn tdk ada tanaman kecuali rumput & pohon. Masih dikatakn kurang berkembang, tp ok lah utk piknik keluarga, aman utk ajak mandi anak2 dlm pengawasan ortu.;5
Hatulian Beach;Bangunannya bagus tetapi sayang tidak terawat. Seolah tak berpenghuni, dan banyak sampah berserakan. Sangat disayangkan, awak bagikan gambar pantainya saja.;2
Hatulian Beach;Pantai yg luas, tempat yg nyaman untuk menghilangan penat;5
Hatulian Beach;Infrastructure sudah dibenahi oleh pemerintah pusat, tinggal kita yang di desa agar mampu menjaga merawat serta mengembangkan potensi desa lebih maju lagi.;5
Hatulian Beach;Tempatnya bagus untuk menikmati senja ataupun berolahraga;5
Hatulian Beach;Lokasi wisata yg gk kalah indah sama yg lokasi yg lain²;5
Hatulian Beach;Lokasi yg bagus untuk menenangkan pikiran. Cukup banyak spot utk foto. Hanya saja kamar mandinya rusak berat, air tidak ada. Kotoran berserakan d lantai. Harus numpang ke rumah warga utk buang air yg aman kalau g mau mual-mual atau muntah.;3
Hatulian Beach;Tempat wisata yg cocok bersama keluarga. Byk view yg bisa dijadikan spot photo. Asri, nyaman. Namun tempat ini perlu dibenahi lagi agar semakin bagus dan byk pengunjungnya;4
Hatulian Beach;Cuma memantau². Ombaknya deras. Angin kencang. Tapi panas menjulang. Dataran pantainya belum terolah dengan baik. Semoga bisa lebih segar. Oya, sebaiknya menggunakan bahasa Indonesia.;3
Hatulian Beach;"Ada permainan buat anak"" tapi tetap dengan pengawasan orang tua ya. Kalau ksana, bawalah jacket atau apa aja yang bisa melindungi tubuh karna anginnya kencang. Trus kalau mau ksana, disarankan jngan terlalu sore karna anginnya smakin kencang.  Kalau mau piknik jg boleh hahahha karna arealnya luas.
Selamat mencoba teman??";5
Hatulian Beach;Kami masyarakyat hatulian dengan lapang dada menerima saran dan kritik dari segala pengunjung.terima kasih atas kerpercaan anda berwisata di pantai HATULIAN BEACH.;5
Hatulian Beach;Lokasi menarik dengan fasilitas dan kebersihan yang cukup memadai... Direkomendasikan untuk acara keluarga dan kantoran.;5
Hatulian Beach;Destinasi wisata Danau Toba yang bagus. Fasilitas memadai namun aktifitas masih kurang karena Covid 19. Perlu perawatan agar fasilitas tidak rusak;3
Hatulian Beach;Indah apalagi sore hari;5
Hatulian Beach;pemandangan nya bagus,wisata nya masi dlm pengembangan,masi asri. tmpt nya sejuk.;5
Hatulian Beach;Ok tp kurang terperlihara seandainya ada investor yg mau pasti untung ya;5
Hatulian Beach;Pemandangan nya kerenn dan cukup bagus juga, cocok buat para anak muda kumpul di Hatulian Beach ?? …;5
Hatulian Beach;kurang bagus kalau berenang banyak leo leo/eceng gondok , kalau selvi agak lumayan;2
Hatulian Beach;Masih sepi tapi airnya jernih bisa buat main air utk anak-anak;5
Hatulian Beach;Hatulian Beach adalah salah satu wisata pantai danau toba yang ada di kabupaten Toba, kecamatan Laguboti.;5
Hatulian Beach;Pemandangannya bagus banget. Suka banget dengan pemandangannya ??????????????? …;5
Hatulian Beach;sayang sekali potensi wisata yg cukup menjanjikan tidak dimanfaatkan dengan baik;3
Hatulian Beach;"Indah dan enak memandang
Bagus buat nongkrong olahraga dan foto²";5
Hatulian Beach;Sunsetnya indah pantainya bersih dan airnya jernih;5
Hatulian Beach;Sangat asri dengan pemandangan yg luas ke arah Danau Toba;5
Hatulian Beach;Masih kurang pembenahan…;2
Hatulian Beach;Tdk menarik dan tempatnya jorok;2
Hatulian Beach;Enak buat bermain anak-anak;5
Hatulian Beach;Mantap ??, ada yg lain dr yg lain... ??? …;5
Hatulian Beach;Arealnya Bagus. Pemandanganya Luar Biasa;5
Hatulian Beach;Tempat yg sangat indah dan nyaman;5
Hatulian Beach;Sangat Bagus untuk Dikembangkan;5
Hatulian Beach;?? …;5
Hatulian Beach;Pantai berpasir yang indah;5
Hatulian Beach;Luar biasa indah nya;5
Hatulian Beach;Mayan sih;5
Hatulian Beach;Sangat Natural ?????? …;5
Hatulian Beach;Huta hatubuan;5
Hatulian Beach;Baguuuuus;5
Hatulian Beach;mantap;5
Hatulian Beach;Sejuk;5
Hatulian Beach;Toba;1
Hatulian Beach;The other side of lake toba, a perfect place to calmly enjoy golden sunset. Some street food vendors are easy to find with reasonable price, but not too many so its not overcrowded. Highly recommend to buy fried banana and enjoy it a cup of hot tea to accompany u enjoying sunset moment.;4
Hatulian Beach;"My last visit was Jan 9,2022.
Sadly said, it's far from ready to be a tourism destination yet.
The infrastructures done by the government is already malfunction.";2
Hatulian Beach;Love the landscapes. Amazing lake with friendly locals.;5
Hatulian Beach;Definitely great place for lake and hiking enthusiast. You need to prepare food.;4
Hatulian Beach;Untuk lasibor doorsmeer mantap lah bersih,sejuk untuk menunggu ga bosan lah ..;5
Hatulian Beach;Sugoi;5
Hatulian Beach;good place if you want to be alone with your mind, like me…;5
Hatulian Beach;Cantik dan keren;5
Hatulian Beach;Great beach;4
